SWLON,SWLAT,HEMISPHERE,ZONE,CM,Zone_Hemi,UTM_Zone,EPSG
-180,-80,s,1,-177,"01,s",01S,32701
-174,-80,s,2,-171,"02,s",02S,32702
-168,-80,s,3,-165,"03,s",03S,32703
-162,-80,s,4,-159,"04,s",04S,32704
-156,-80,s,5,-153,"05,s",05S,32705
-150,-80,s,6,-147,"06,s",06S,32706
-144,-80,s,7,-141,"07,s",07S,32707
-138,-80,s,8,-135,"08,s",08S,32708
-132,-80,s,9,-129,"09,s",09S,32709
-126,-80,s,10,-123,"10,s",10S,32710
-120,-80,s,11,-117,"11,s",11S,32711
-114,-80,s,12,-111,"12,s",12S,32712
-108,-80,s,13,-105,"13,s",13S,32713
-102,-80,s,14,-99,"14,s",14S,32714
-96,-80,s,15,-93,"15,s",15S,32715
-90,-80,s,16,-87,"16,s",16S,32716
-84,-80,s,17,-81,"17,s",17S,32717
-78,-80,s,18,-75,"18,s",18S,32718
-72,-80,s,19,-69,"19,s",19S,32719
-66,-80,s,20,-63,"20,s",20S,32720
-60,-80,s,21,-57,"21,s",21S,32721
-54,-80,s,22,-51,"22,s",22S,32722
-48,-80,s,23,-45,"23,s",23S,32723
-42,-80,s,24,-39,"24,s",24S,32724
-36,-80,s,25,-33,"25,s",25S,32725
-30,-80,s,26,-27,"26,s",26S,32726
-24,-80,s,27,-21,"27,s",27S,32727
-18,-80,s,28,-15,"28,s",28S,32728
-12,-80,s,29,-9,"29,s",29S,32729
-6,-80,s,30,-3,"30,s",30S,32730
0,-80,s,31,3,"31,s",31S,32731
6,-80,s,32,9,"32,s",32S,32732
12,-80,s,33,15,"33,s",33S,32733
18,-80,s,34,21,"34,s",34S,32734
24,-80,s,35,27,"35,s",35S,32735
30,-80,s,36,33,"36,s",36S,32736
36,-80,s,37,39,"37,s",37S,32737
42,-80,s,38,45,"38,s",38S,32738
48,-80,s,39,51,"39,s",39S,32739
54,-80,s,40,57,"40,s",40S,32740
60,-80,s,41,63,"41,s",41S,32741
66,-80,s,42,69,"42,s",42S,32742
72,-80,s,43,75,"43,s",43S,32743
78,-80,s,44,81,"44,s",44S,32744
84,-80,s,45,87,"45,s",45S,32745
90,-80,s,46,93,"46,s",46S,32746
96,-80,s,47,99,"47,s",47S,32747
102,-80,s,48,105,"48,s",48S,32748
108,-80,s,49,111,"49,s",49S,32749
114,-80,s,50,117,"50,s",50S,32750
120,-80,s,51,123,"51,s",51S,32751
126,-80,s,52,129,"52,s",52S,32752
132,-80,s,53,135,"53,s",53S,32753
138,-80,s,54,141,"54,s",54S,32754
144,-80,s,55,147,"55,s",55S,32755
150,-80,s,56,153,"56,s",56S,32756
156,-80,s,57,159,"57,s",57S,32757
162,-80,s,58,165,"58,s",58S,32758
168,-80,s,59,171,"59,s",59S,32759
174,-80,s,60,177,"60,s",60S,32760
-180,0,n,1,-177,"01,n",01N,32601
-174,0,n,2,-171,"02,n",02N,32602
-168,0,n,3,-165,"03,n",03N,32603
-162,0,n,4,-159,"04,n",04N,32604
-156,0,n,5,-153,"05,n",05N,32605
-150,0,n,6,-147,"06,n",06N,32606
-144,0,n,7,-141,"07,n",07N,32607
-138,0,n,8,-135,"08,n",08N,32608
-132,0,n,9,-129,"09,n",09N,32609
-126,0,n,10,-123,"10,n",10N,32610
-120,0,n,11,-117,"11,n",11N,32611
-114,0,n,12,-111,"12,n",12N,32612
-108,0,n,13,-105,"13,n",13N,32613
-102,0,n,14,-99,"14,n",14N,32614
-96,0,n,15,-93,"15,n",15N,32615
-90,0,n,16,-87,"16,n",16N,32616
-84,0,n,17,-81,"17,n",17N,32617
-78,0,n,18,-75,"18,n",18N,32618
-72,0,n,19,-69,"19,n",19N,32619
-66,0,n,20,-63,"20,n",20N,32620
-60,0,n,21,-57,"21,n",21N,32621
-54,0,n,22,-51,"22,n",22N,32622
-48,0,n,23,-45,"23,n",23N,32623
-42,0,n,24,-39,"24,n",24N,32624
-36,0,n,25,-33,"25,n",25N,32625
-30,0,n,26,-27,"26, n",26 N,32626
-24,0,n,27,-21,"27,n",27N,32627
-18,0,n,28,-15,"28,n",28N,32628
-12,0,n,29,-9,"29,n",29N,32629
-6,0,n,30,-3,"30,n",30N,32630
42,0,n,38,45,"38,n",38N,32631
48,0,n,39,51,"39,n",39N,32632
54,0,n,40,57,"40,n",40N,32633
60,0,n,41,63,"41,n",41N,32634
66,0,n,42,69,"42,n",42N,32635
72,0,n,43,75,"43,n",43N,32636
78,0,n,44,81,"44, n",44 N,32637
84,0,n,45,87,"45,n",45N,32638
90,0,n,46,93,"46,n",46N,32639
96,0,n,47,99,"47,n",47N,32640
102,0,n,48,105,"48,n",48N,32641
108,0,n,49,111,"49,n",49N,32642
114,0,n,50,117,"50,n",50N,32643
120,0,n,51,123,"51,n",51N,32644
126,0,n,52,129,"52,n",52N,32645
132,0,n,53,135,"53,n",53N,32646
138,0,n,54,141,"54,n",54N,32647
144,0,n,55,147,"55,n",55N,32648
150,0,n,56,153,"56,n",56N,32649
156,0,n,57,159,"57,n",57N,32650
162,0,n,58,165,"58,n",58N,32651
168,0,n,59,171,"59,n",59N,32652
174,0,n,60,177,"60,n",60N,32653
0,0,n,31,3,"31,n",31N,32654
6,0,n,32,9,"32,n",32N,32655
12,0,n,33,15,"33,n",33N,32656
18,0,n,34,21,"34,n",34N,32657
24,0,n,35,27,"35,n",35N,32658
30,0,n,36,33,"36,n",36N,32659
36,0,n,37,39,"37,n",37N,32660
